Date,Symbol,Nominal Price,Prev close,Open,Turnover,Volume,Mkt cap,Bid,Ask,EPS(RMB),P/E ratio,Div yield,High,Low,52-wk high,52-wk low
2018-06-11,101,17.960,17.980,17.840,73.76M,4.11M,80.77B,17.960,17.980,1.8061,9.94,4.18%,18.140,17.840,21.800,17.080
2018-06-11,1038,59.650,59.400,59.500,82.33M,1.38M,158.11B,59.650,59.700,4.0705,14.65,3.99%,59.850,59.400,73.800,58.700
2018-06-11,1044,77.400,76.750,75.700,170.41M,2.21M,93.36B,77.400,77.450,3.1488,19.81,3.28%,77.900,75.600,88.700,52.800
2018-06-11,1088,21.000,20.850,20.700,446.48M,21.28M,71.37B,20.950,21.000,2.403,7.05,5.37%,21.300,20.450,25.750,16.380
2018-06-11,1093,24.400,24.400,24.450,550.72M,22.46M,152.32B,24.350,24.400,0.4548,53.65,0.61%,25.000,24.250,26.750,10.940
2018-06-11,1109,31.150,31.100,31.300,191.17M,6.11M,215.89B,31.150,31.200,3.3209,9.38,3.10%,31.800,31.050,34.450,21.050
2018-06-11,1113,66.100,66.300,66.150,107.77M,1.63M,244.40B,66.100,66.150,8.0716,8.19,2.57%,66.450,65.500,75.300,58.750
2018-06-11,11,202.800,200.200,203.000,307.10M,1.52M,387.72B,202.400,202.800,10.4705,19.37,3.35%,203.400,201.200,204.200,159.000
2018-06-11,1299,72.400,71.950,72.400,684.60M,9.46M,874.31B,72.400,72.450,0.51,18.20,1.38%,72.850,71.850,75.000,54.500
2018-06-11,12,45.700,45.950,46.000,112.59M,2.47M,201.13B,45.650,45.700,6.9148,6.61,3.40%,46.000,45.600,50.909,39.046
2018-06-11,1398,6.560,6.590,6.540,1.05B,160.90M,569.36B,6.560,6.570,0.79,6.64,4.59%,6.610,6.530,7.640,4.830
2018-06-11,144,17.460,17.220,17.380,39.55M,2.27M,57.22B,17.460,17.480,1.839,9.49,12.37%,17.540,17.280,26.030,16.960
2018-06-11,151,7.850,7.790,7.790,84.73M,10.76M,97.72B,7.840,7.850,0.2472,25.93,2.47%,7.980,7.670,8.180,5.000
2018-06-11,16,127.300,126.900,126.800,140.20M,1.10M,368.78B,127.300,127.400,14.43,8.82,3.30%,127.700,126.500,139.600,113.500
2018-06-11,175,24.300,23.600,23.700,1.34B,55.49M,218.13B,24.300,24.350,1.1905,16.48,1.19%,24.500,23.600,29.800,13.180
2018-06-11,17,12.120,12.100,12.100,73.91M,6.09M,123.77B,12.120,12.140,0.8035,15.08,3.88%,12.220,12.040,13.000,9.740
2018-06-11,1928,45.450,44.750,44.350,440.30M,9.67M,367.24B,45.450,45.500,0.1986,29.34,4.38%,46.000,44.350,49.350,33.800
