Date,Symbol,Nominal price,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,Market Cap,Beta,PE Ratio (TTM),EPS (TTM),Earnings Date,Forward Dividend & Yield,Ex-Dividend Date,1y Target Est
2018-06-11,0101,17.960,17.980,17.840,17.960 x 0,17.980 x 0,17.840 - 18.140,17.080 - 21.650,"4,105,353","3,590,553",80.779B,1.33,9.92,1.810,N/A,0.75 (4.07%),2018-04-30,21.70
2018-06-11,1038,59.650,59.400,59.500,59.650 x 0,59.700 x 0,59.400 - 59.850,58.700 - 73.800,"1,379,335","2,594,946",158.113B,0.12,14.66,4.070,"Jul 18, 2018",2.38 (3.80%),2018-05-14,76.68
2018-06-11,1044,77.400,76.750,75.700,77.400 x 0,77.450 x 0,75.600 - 77.900,52.800 - 88.700,"2,210,130","3,187,390",93.365B,0.59,20.50,3.775,"Mar 20, 2017",2.35 (3.28%),2018-05-21,82.94
2018-06-11,1088,21.000,20.850,20.700,20.950 x 0,21.000 x 0,20.450 - 21.300,16.380 - 25.750,"21,283,914","23,010,284",418.513B,1.13,7.29,2.881,N/A,1.13 (5.79%),2018-06-28,20.54
2018-06-11,1093,24.400,24.400,24.450,24.350 x 0,24.400 x 0,24.250 - 25.000,10.940 - 26.750,"22,457,906","35,839,382",152.33B,0.94,53.65,0.455,"May 23, 2018",0.15 (0.72%),2018-05-30,25.58
2018-06-11,1109,31.150,31.100,31.300,31.150 x 0,31.200 x 0,31.050 - 31.800,21.050 - 34.450,"6,110,231","11,046,695",215.834B,1.51,9.38,3.320,"Mar 20, 2018",0.97 (3.11%),2018-06-13,35.12
2018-06-11,1113,66.100,66.300,66.150,66.100 x 0,66.150 x 0,65.500 - 66.450,58.750 - 75.300,"1,630,785","4,764,957",244.405B,1.48,8.19,8.070,"Aug 1, 2018",1.70 (2.53%),2018-05-15,82.13
2018-06-11,0011,202.800,200.200,203.000,202.400 x 0,202.800 x 0,201.200 - 203.400,159.000 - 204.200,"1,517,444","1,330,160",387.721B,0.54,19.69,10.300,"Jul 30, 2018",6.80 (3.35%),2018-05-17,189.16
2018-06-11,1299,72.400,71.950,72.400,72.400 x 0,72.450 x 0,71.850 - 72.850,54.500 - 75.000,"9,455,616","22,458,378",869.618B,0.97,18.18,3.983,"Jul 26, 2018",1.00 (1.35%),2018-05-23,78.75
2018-06-11,0012,45.700,45.950,46.000,45.650 x 0,45.700 x 0,45.600 - 46.000,39.045 - 50.909,"2,465,041","3,405,220",201.138B,0.80,6.61,6.918,"Aug 20, 2018",3.83 (7.38%),2018-06-05,51.06
2018-06-11,1398,6.560,6.590,6.540,6.560 x 0,6.570 x 0,6.530 - 6.610,4.830 - 7.640,"160,896,016","231,502,549",2.067T,1.30,6.93,0.947,N/A,0.30 (4.47%),2018-07-05,8.64
2018-06-11,0144,17.460,17.220,17.380,17.460 x 0,17.480 x 0,17.280 - 17.540,16.960 - 27.400,"2,266,299","4,678,030",57.227B,1.01,9.49,1.839,N/A,0.81 (4.70%),2018-06-07,24.33
2018-06-11,0151,7.850,7.790,7.790,7.840 x 0,7.850 x 0,7.670 - 7.980,5.000 - 8.180,"10,756,274","17,136,468",97.727B,0.76,20.33,0.386,N/A,0.07 (1.15%),2017-12-04,7.15
2018-06-11,0016,127.300,126.900,126.800,127.300 x 0,127.400 x 0,126.500 - 127.700,113.500 - 139.600,"1,101,027","3,185,715",368.788B,0.93,11.26,11.310,"Sep 10, 2018",2.40 (1.95%),2018-03-12,152.71
2018-06-11,0175,24.300,23.600,23.700,24.300 x 0,24.350 x 0,23.600 - 24.500,13.940 - 29.800,"55,492,945","47,883,082",218.131B,1.34,17.03,N/A,"Aug 14, 2018",0.29 (1.24%),2018-06-08,30.83
2018-06-11,0017,12.120,12.100,12.100,12.120 x 0,12.140 x 0,12.040 - 12.220,9.740 - 13.000,"6,087,023","12,579,646",123.777B,1.30,12.76,0.950,N/A,0.28 (2.45%),2018-03-16,13.70
2018-06-11,1928,45.450,44.750,44.350,45.450 x 0,45.500 x 0,44.350 - 46.000,33.800 - 49.350,"9,671,760","11,920,565",367.245B,0.94,29.29,1.552,"May 3, 2018",1.00 (2.11%),2018-05-31,49.42
