Date,Symbol,Nominal price,Open,Prev Close,Volume,Market Cap,Day Range,52 Week Range,P/E Ratio,Bloomberg (BEst) P/E Ratio,Bloomberg (BEst) PEG Ratio,Shares Outstanding,Price to Book Ratio,Price to Sales Ratio,1 Year Return,30 Day Avg Volume,EPS,Bloomberg (BEst) EPS Curr Yr,Dividend,Last Dividend Reported
2018-06-12,101,17.80,17.84,17.96,"5,058,529",80.059B,17.78-18.02,17.08-21.65,9.86,17.2816,13.9805,4.5B,0.5880,7.1492,-10.98%,"3,862,583",1.80,1.0610,4.21%,0.58
2018-06-12,1038,59.50,59.80,59.65,"1,209,477",157.715B,59.50-59.90,58.70-73.80,14.60,13.0197,2.0683,2.65B,1.4488,24.9197,-6.53%,"2,407,529",4.08,4.5700,4.00%,1.71
2018-06-12,1044,79.25,76.45,77.40,"3,374,877",95.596B,76.45-79.75,52.80-88.70,20.54,19.4227,1.5233,1.21B,4.8440,3.9322,54.38%,"3,308,721",3.15,3.3310,3.21%,1.15
2018-06-12,1088,21.30,20.90,21.00,"27,732,028",499.403B,20.90-21.70,16.33-25.75,7.34,7.1858,N/A,3.4B,1.0891,1.3794,31.72%,"26,193,380",2.37,2.3260,5.23%,0.91
2018-06-12,1093,25.65,24.50,24.40,"28,701,471",160.133B,24.50-25.75,10.94-26.75,56.41,40.2669,1.5086,6.24B,10.4510,10.1088,120.58%,"45,529,350",0.45,0.5950,0.58%,0.15
2018-06-12,1109,31.55,30.55,31.15,"9,607,147",218.671B,30.55-31.80,21.05-34.45,9.50,8.2376,0.4706,6.93B,1.5282,1.8440,43.09%,"10,155,520",3.32,3.5190,3.06%,0.867
2018-06-12,1113,66.75,66.45,66.10,"3,378,736",246.808B,65.70-66.90,58.75-75.30,8.27,9.4014,1.4204,3.7B,0.8465,4.3290,12.56%,"4,174,792",8.07,6.2700,2.55%,1.28
2018-06-12,11,202.00,202.00,202.80,"928,325",386.192B,200.20-202.60,159.00-204.20,19.67,17.0320,1.9273,1.91B,2.6625,6.7547,28.90%,"1,423,391",10.27,11.3800,3.37%,1.3
2018-06-12,1299,71.80,72.65,72.40,"14,150,872",867.072B,71.80-73.00,54.50-75.00,17.94,19.4681,4.0048,12.08B,2.6308,2.8647,31.07%,"21,469,510",0.51,0.4750,1.39%,0.7438
2018-06-12,12,45.45,45.95,45.70,"3,917,072",200.037B,45.15-46.00,39.05-50.91,6.57,N/A,N/A,4.4B,0.6824,8.1802,13.36%,"4,153,197",6.92,2.8470,3.42%,1.11818182
