Date,Symbol,Nominal price,Open,High,Low,Mkt cap,P/E ratio,Div yield,Prev close,52-wk high,52-wk low
2018-06-12,0101,17.80,17.84,18.02,17.78,80.06B,9.86,4.21%,17.96,21.80,17.08
2018-06-12,1038,59.50,59.80,59.90,59.50,157.72B,14.62,4.00%,59.65,73.80,58.70
2018-06-12,1044,79.25,76.45,79.75,76.45,95.60B,20.73,3.20%,77.40,88.70,52.80
2018-06-12,1088,21.30,20.90,21.70,20.90,-,7.33,5.31%,21.00,25.75,16.38
2018-06-12,1093,25.65,24.50,25.75,24.50,160.13B,51.34,0.58%,24.40,26.75,10.94
2018-06-12,1109,31.55,30.55,31.80,30.55,218.67B,9.50,3.06%,31.15,34.45,21.05
2018-06-12,1113,66.75,66.45,66.90,65.70,246.81B,8.27,2.55%,66.10,75.30,58.75
2018-06-12,0011,202.00,202.00,202.60,200.20,386.19B,19.61,3.37%,202.80,204.20,159.00
2018-06-12,1299,71.80,72.65,73.00,71.80,867.07B,18.00,1.39%,72.40,75.00,54.50
2018-06-12,0012,45.45,45.95,46.00,45.15,181.85B,6.57,3.42%,45.70,50.91,39.05
2018-06-12,1398,6.55,6.53,6.59,6.52,-,6.66,4.59%,6.56,7.64,4.83
2018-06-12,0144,17.40,17.60,17.68,17.32,57.03B,9.42,4.66%,17.46,27.40,16.96
2018-06-12,0151,7.86,7.75,7.96,7.75,97.85B,-,1.54%,7.85,8.18,5.00
2018-06-12,0016,127.30,126.60,127.80,126.30,368.79B,6.81,3.30%,127.30,139.60,113.50
2018-06-12,0175,24.40,24.40,24.55,24.05,219.02B,17.11,1.19%,24.30,29.80,13.94
2018-06-12,0017,12.08,12.08,12.14,12.00,123.37B,8.12,3.89%,12.12,13.00,9.74
2018-06-12,1928,45.60,45.80,45.90,45.30,368.39B,29.27,4.36%,45.45,49.35,33.80
2018-06-12,1997,60.50,59.95,61.20,59.50,183.69B,10.67,1.57%,60.20,65.15,46.55
2018-06-12,0019,82.75,83.80,83.80,82.40,116.40B,4.83,2.54%,82.45,83.80,71.85
2018-06-12,0001,91.55,91.00,92.00,90.70,353.17B,10.06,3.11%,90.70,108.90,87.10
2018-06-12,2007,16.80,16.66,16.92,16.52,365.25B,11.11,2.88%,16.68,19.16,8.37
2018-06-12,2018,126.80,127.50,129.10,126.30,154.95B,23.41,1.66%,127.90,185.00,94.05
2018-06-12,2318,79.00,79.00,79.75,78.25,-,12.52,2.30%,78.75,98.85,49.90
2018-06-12,2319,29.80,28.80,30.20,28.70,117.04B,46.13,0.50%,28.75,30.20,14.50
2018-06-12,2382,173.00,167.30,174.90,167.30,189.78B,53.06,0.47%,169.70,174.90,62.50
2018-06-12,2388,40.10,40.10,40.40,39.80,423.97B,14.89,3.25%,40.10,42.15,34.30
2018-06-12,0023,32.60,32.35,33.00,32.35,91.53B,19.36,3.93%,32.75,36.00,30.55
2018-06-12,2628,22.90,22.85,23.05,22.70,-,16.33,2.14%,22.85,28.20,21.10
2018-06-12,0267,11.86,11.86,11.90,11.70,345.01B,7.86,3.04%,11.90,12.80,10.70
2018-06-12,0027,66.15,65.70,66.65,65.25,285.64B,27.14,-,65.50,73.85,43.90
2018-06-12,0288,7.23,7.30,7.38,7.06,106.10B,12.08,3.73%,7.44,9.90,7.06
2018-06-12,0002,81.75,82.15,82.20,81.60,206.54B,14.49,3.58%,81.85,84.95,75.05
2018-06-12,3328,6.41,6.31,6.43,6.31,-,5.73,5.56%,6.38,7.13,5.47
2018-06-12,0386,7.53,7.46,7.67,7.46,-,-,3.96%,7.42,8.35,5.40
2018-06-12,0388,260.60,260.00,262.60,259.20,323.09B,38.99,2.07%,261.20,306.00,197.60
2018-06-12,3988,4.19,4.18,4.22,4.17,-,7.43,4.20%,4.20,4.96,3.57
2018-06-12,0003,15.20,15.30,15.36,15.20,212.61B,28.43,2.09%,15.34,15.80,13.09
2018-06-12,0005,76.75,76.40,76.85,76.30,-,18.21,5.18%,76.95,86.00,67.55
2018-06-12,0066,44.55,44.50,44.65,44.10,267.70B,15.79,2.51%,44.30,46.80,40.55
2018-06-12,0688,29.15,28.50,29.40,28.50,319.37B,7.83,2.74%,28.70,32.20,22.50
2018-06-12,0006,55.80,55.50,55.95,55.40,119.09B,14.32,5.02%,55.50,78.80,54.00
2018-06-12,0700,417.40,420.40,422.40,416.20,3.97T,40.38,0.21%,419.00,476.60,260.40
2018-06-12,0762,10.30,10.30,10.38,10.18,315.16B,48.91,0.62%,10.24,13.24,9.20
2018-06-12,0823,73.00,73.80,73.80,73.00,156.95B,3.36,3.42%,73.50,75.00,58.00
2018-06-12,0836,16.20,16.10,16.48,16.02,77.93B,16.74,5.40%,15.90,16.48,12.82
2018-06-12,0083,13.92,13.88,14.06,13.76,91.91B,6.14,3.81%,13.94,15.06,12.44
2018-06-12,0857,6.53,6.45,6.68,6.45,-,41.90,1.99%,6.55,6.74,4.72
2018-06-12,0883,13.66,13.42,13.98,13.42,609.88B,20.11,3.66%,13.44,14.64,8.45
2018-06-12,0939,8.06,8.02,8.13,8.00,-,6.67,4.51%,8.06,9.39,5.91
2018-06-12,0941,71.75,72.00,72.50,71.55,1.47T,10.46,4.47%,71.50,89.60,69.60
