Date,Symbol,Nominal price,High,Share Tr,Prev Close,1 Month High,MKT Cap,Low,Turnover,Open,1 Month Low,Short Sell,Bid,10-D SMA,Ask,20-D SMA,No of Tr,50-D SMA,Amount/T,100-D SMA,VWAP,250-D SMA,52-W High,52-W Low,Admission Fee,14-D RSI,Spread,10-D R. of Return,P/E Ratio/Est.,Rate of Risk,% Yld/Est.,Risk Return Rate,EPS,Beta,DPS,NBV Per Share
2018-06-13,0101,17.600,18.020,4.327M,17.800,19.200,80.059B,17.560,76.478M,17.820,17.080,14.041M,17.600,18.004,17.620,18.252,829,18.108,"92,253",18.452,17.675,18.366,21.070,16.700,"17,600",40.990,0.020/0.020,-1.456%,9.724/16.683,0.760%,4.261/4.261,-1.915,HKD 1.810,+0.623,HKD 0.750,HKD 30.274
2018-06-13,1038,59.350,60.000,1.474M,59.500,61.800,157.715B,59.350,87.866M,59.700,58.700,12.165M,59.350,59.390,59.400,59.650,624,60.382,"140,810",62.462,59.611,64.724,71.420,58.700,"29,675",44.671,0.050/0.050,0.423%,14.582/12.709,2.888%,4.010/4.389,0.146,HKD 4.070,+0.355,HKD 2.380,HKD 39.036
2018-06-13,1044,77.500,N/A,2.050M,79.250,79.750,95.596B,77.150,160.175M,79.000,67.777,32.345M,77.500,76.680,77.550,74.195,1394,72.738,"114,903",73.636,78.134,70.276,87.277,53.811,"38,750",67.570,0.050/0.050,7.044%,20.112/18.411,8.102%,3.356/3.426,0.869,RMB 3.149,+0.529,RMB 2.100,RMB 13.356
2018-06-13,1088,21.050,21.300,16.540M,21.300,22.150,72.390B,20.950,349.849M,20.950,19.600,16.525M,21.050,20.972,21.100,20.747,3286,20.068,"106,467",21.189,21.152,19.854,25.750,15.818,"10,525",55.763,0.050/0.050,6.744%,7.159/7.595,1.759%,5.362/5.046,3.834,RMB 2.403,+1.267,RMB 0.910,RMB 15.362
2018-06-13,1093,24.950,25.500,31.634M,25.650,26.600,160.133B,24.800,792.396M,25.300,21.050,56.390M,24.950,25.020,25.000,24.403,2764,22.234,"286,685",20.157,25.049,16.090,26.600,10.790,"49,900",63.581,0.050/0.050,2.464%,54.859/43.772,4.010%,0.601/0.561,0.614,HKD 0.455,+0.896,HKD 0.150,HKD 2.454
2018-06-13,1109,30.050,30.650,8.946M,30.683,31.233,212.662B,30.050,271.465M,30.450,26.833,53.946M,30.050,29.643,30.100,29.201,1259,28.511,"215,620",28.368,30.345,24.882,33.583,20.183,"60,100",61.980,0.050/0.050,9.740%,9.051/8.672,3.133%,3.218/4.010,3.109,HKD 3.320,+1.254,HKD 0.967,HKD 20.645
2018-06-13,1113,66.200,67.050,2.914M,66.750,68.850,246.808B,65.900,193.151M,66.150,64.500,22.372M,66.100,66.340,66.200,66.648,949,66.005,"203,532",67.290,66.284,65.298,74.020,57.050,"33,100",52.460,0.050/0.050,1.846%,8.203/9.959,3.209%,2.568/2.870,0.575,HKD 8.070,+0.614,HKD 1.700,HKD 78.851
2018-06-13,0011,199.100,201.600,"783,548",202.000,203.600,386.192B,198.800,156.693M,199.300,192.500,21.636M,199.100,198.020,199.300,197.410,894,193.650,"175,271",188.838,199.979,180.136,203.600,152.200,"19,910",60.941,0.100/0.100,2.682%,19.330/17.620,12.231%,3.415/3.616,0.219,HKD 10.300,+0.548,HKD 6.700,HKD 79.520
2018-06-13,1299,71.150,72.300,14.908M,71.800,74.256,867.072B,70.800,1.067B,72.000,69.850,219.415M,71.100,72.035,71.150,71.794,4477,69.661,"238,278",67.080,71.572,62.764,74.256,53.500,"14,230",52.359,0.050/0.050,1.065%,17.781/20.151,4.856%,1.405/1.654,0.219,USD 0.510,+1.098,USD 0.128,USD 3.478
2018-06-13,0012,44.700,45.550,4.857M,45.450,48.000,200.037B,N/A,218.411M,45.000,44.700,18.965M,44.700,46.073,44.750,45.796,972,45.166,"224,702",45.562,44.968,44.402,49.791,37.491,"44,700",48.094,0.050/0.050,-1.502%,6.461/12.301,2.796%,3.478/3.528,-0.537,HKD 6.918,+0.655,HKD 1.555,HKD 66.600
