Date,Symbol,Nominal price,Open,Prev Close,Volume,Market Cap,Day Range,52 Week Range,P/E Ratio,Bloomberg (BEst) P/E Ratio,Bloomberg (BEst) PEG Ratio,Shares Outstanding,Price to Book Ratio,Price to Sales Ratio,1 Year Return,30 Day Avg Volume,EPS,Bloomberg (BEst) EPS Curr Yr,Dividend,Last Dividend Reported
2018-06-14,101,17.30,17.30,17.60,"10,870,447",77.811B,17.20-17.68,17.08-21.65,9.59,16.7961,13.5878,4.5B,0.5715,6.9484,-11.78%,"3,890,370",1.80,1.0610,4.34%,0.58
2018-06-14,1038,59.10,59.35,59.35,"2,113,786",156.655B,59.00-59.60,58.70-73.80,14.50,12.9435,2.0562,2.65B,1.4391,24.7522,-7.02%,"2,343,911",4.08,4.5660,4.03%,1.71
2018-06-14,1044,78.00,77.40,77.50,"2,291,318",94.088B,77.05-78.45,53.20-88.70,20.20,19.3160,1.5140,1.21B,4.7653,3.8683,50.25%,"3,256,572",3.15,3.2950,3.26%,1.15
2018-06-14,1088,21.15,21.15,21.05,"31,378,816",495.944B,20.90-21.60,16.33-25.75,7.28,7.1315,N/A,3.4B,1.0808,1.3689,29.99%,"26,452,080",2.37,2.3280,5.27%,0.91
2018-06-14,1093,24.60,24.75,24.95,"25,382,409",153.578B,24.30-25.05,10.94-26.75,54.10,38.6185,1.4469,6.24B,10.0231,9.6950,117.12%,"46,720,790",0.45,0.5950,0.61%,0.15
2018-06-14,1109,28.95,30.10,30.05,"15,184,403",200.651B,28.80-30.15,21.05-34.45,8.72,7.5587,0.4319,6.93B,1.4023,1.6920,35.96%,"10,200,140",3.32,3.5190,3.34%,0.867
2018-06-14,1113,65.65,65.65,66.20,"5,718,718",242.741B,65.30-66.35,58.75-75.30,8.13,9.2465,1.3970,3.7B,0.8326,4.2576,10.25%,"3,984,820",8.07,6.2700,2.59%,1.28
2018-06-14,11,197.90,198.10,199.10,"1,091,207",378.354B,197.30-199.50,159.00-204.20,19.27,16.6863,1.8882,1.91B,2.6085,6.6176,26.29%,"1,362,698",10.27,11.3800,3.44%,1.3
2018-06-14,1299,70.15,71.00,71.15,"21,073,563",847.146B,70.00-71.45,54.50-75.00,17.53,19.0171,3.9120,12.08B,2.5698,2.7983,27.25%,"20,699,920",0.51,0.4750,1.43%,0.7438
2018-06-14,12,44.05,44.70,44.70,"3,670,716",193.876B,44.05-44.70,39.05-50.91,6.37,N/A,N/A,4.4B,0.6614,7.9282,9.99%,"4,056,018",6.92,2.8470,3.53%,1.11818182
2018-06-14,1398,6.38,6.39,6.44,"427,073,774",2.412T,6.34-6.44,4.83-7.64,6.43,5.7524,1.0383,86.79B,0.8897,1.7578,29.02%,"239,520,100",0.81,0.8570,4.62%,0.2408
2018-06-14,144,17.18,17.32,17.28,"4,505,799",56.309B,17.18-17.36,16.96-26.02,9.30,9.8736,8.6992,3.28B,0.7667,6.4847,-12.63%,"5,114,158",1.85,1.7400,4.71%,0.59
2018-06-14,151,7.73,7.80,7.85,"14,155,430",96.233B,7.73-7.89,5.00-8.18,25.28,N/A,N/A,12.45B,5.4199,3.8870,43.17%,"16,512,480",0.25,0.2590,0.91%,0.0125
2018-06-14,16,123.20,124.50,124.90,"4,276,130",356.911B,123.20-125.40,113.50-139.60,6.59,N/A,2.5050,2.9B,0.6778,4.0999,5.46%,"3,474,170",18.69,10.3870,3.41%,1.2
2018-06-14,175,23.45,23.80,23.85,"33,330,983",210.517B,23.20-23.90,13.94-29.80,16.05,14.3872,0.4999,8.98B,4.9801,1.8434,58.68%,"46,523,940",1.19,1.5290,1.24%,0.29
2018-06-14,17,11.86,11.98,12.02,"12,927,417",121.122B,11.82-12.14,9.74-13.00,7.94,N/A,N/A,10.21B,0.5835,2.0003,16.70%,"14,618,370",1.49,0.7720,3.96%,0.14
2018-06-14,1928,45.25,45.30,45.00,"7,591,571",365.628B,45.00-45.80,33.80-49.35,29.05,N/A,1.3413,8.08B,10.2585,6.0328,27.12%,"11,694,160",0.20,0.2650,4.40%,1
2018-06-14,1997,59.45,60.50,60.00,"1,881,081",180.504B,59.45-60.70,46.55-65.15,N/A,20.4296,N/A,3.04B,0.8706,N/A,N/A,"2,755,884",N/A,3.0290,1.60%,0.95
2018-06-14,19,83.00,83.15,83.15,"2,343,055",117.475B,82.80-83.60,71.85-83.80,4.79,17.8265,0.6500,905.21M,0.4929,1.5541,9.31%,"1,353,840",17.34,4.6560,2.53%,1.1
2018-06-14,1,88.30,88.90,89.50,"5,741,797",340.633B,88.00-89.60,87.10-108.90,9.70,8.6978,1.3784,3.86B,0.7921,1.3707,-7.96%,"5,333,832",9.10,10.1520,3.23%,2.07
2018-06-14,2007,16.14,16.62,16.42,"29,959,322",350.899B,16.00-16.64,7.96-18.23,10.67,8.8974,0.3652,21.74B,2.9915,1.2273,92.64%,"44,552,730",1.23,1.5740,3.00%,0.2495
2018-06-14,2018,119.40,121.00,121.60,"6,231,707",145.907B,118.20-121.00,94.05-185.00,22.40,17.9750,0.7411,1.22B,6.7821,5.6477,24.98%,"8,295,998",4.35,5.2420,1.76%,1.7
2018-06-14,2318,79.05,78.70,78.55,"54,744,171",1.446T,78.50-80.40,49.75-98.55,12.45,11.9450,1.0570,7.45B,2.3493,1.1337,60.45%,"42,430,430",5.17,5.4910,2.31%,0.2
