Date,Symbol,Nominal price,High,Share Tr,Prev Close,1 Month High,MKT Cap,Break 1M Lo,Turnover,Open,1 Month Low,Short Sell,Bid,10-D SMA,Ask,20-D SMA,No of Tr,50-D SMA,Amount/T,100-D SMA,VWAP,250-D SMA,52-W High,52-W Low,Admission Fee,14-D RSI,Spread,10-D R. of Return,P/E Ratio/Est.,Rate of Risk,% Yld/Est.,Risk Return Rate,EPS,Beta,DPS,NBV Per Share
2018-06-15,0101,17.020,17.460,17.012M,17.300,19.200,77.811B,17.000,291.429M,17.300,17.080,21.695M,17.000,17.928,17.020,18.091,1534,18.095,"189,980",18.406,17.131,18.344,21.070,16.700,"17,020",32.453,0.020/0.020,-5.128%,9.403/16.133,0.753%,4.407/4.407,-6.810,HKD 1.810,+0.625,HKD 0.750,HKD 30.274
2018-06-15,1038,58.500,59.250,3.277M,59.100,61.600,156.655B,N/A,192.337M,59.000,58.700,14.467M,58.500,59.405,58.700,59.503,1508,60.251,"127,545",62.358,58.693,64.687,71.420,58.700,"29,250",40.197,0.050/0.050,-0.847%,14.373/12.527,2.927%,4.068/4.453,-0.290,HKD 4.070,+0.357,HKD 2.380,HKD 39.036
2018-06-15,1044,77.550,78.400,3.357M,78.000,79.850,94.088B,N/A,260.783M,77.350,68.927,50.096M,77.550,77.520,77.600,74.935,984,72.995,"265,023",73.620,77.683,70.490,87.277,53.811,"38,775",61.510,0.050/0.050,3.607%,20.072/18.374,7.938%,3.354/3.433,0.454,RMB 3.149,+0.528,RMB 2.100,RMB 13.356
2018-06-15,1088,21.200,21.450,26.571M,21.150,22.150,71.880B,N/A,564.874M,20.900,19.600,54.235M,21.150,21.170,21.200,20.780,1968,20.134,"287,029",21.171,21.259,19.895,25.750,15.818,"10,600",54.269,0.050/0.050,0.952%,7.191/7.629,1.730%,5.325/5.023,0.551,RMB 2.403,+1.263,RMB 0.910,RMB 15.362
2018-06-15,1093,24.050,25.200,49.904M,24.600,26.600,153.578B,N/A,1.216B,24.600,21.850,8.122M,24.050,25.085,24.100,24.608,3024,22.398,"402,272",20.297,24.367,16.195,26.600,10.790,"48,100",55.037,0.050/0.050,-2.828%,52.880/40.420,4.060%,0.624/0.811,-0.697,HKD 0.455,+0.913,HKD 0.150,HKD 2.454
2018-06-15,1109,29.000,29.450,14.439M,28.950,31.233,200.651B,N/A,419.588M,28.500,26.833,14.351M,28.950,30.011,29.000,29.212,1330,28.591,"315,480",28.453,29.059,24.948,33.583,20.183,"58,000",48.265,0.050/0.050,1.282%,8.735/8.369,3.142%,3.334/4.155,0.408,HKD 3.320,+1.269,HKD 0.967,HKD 20.645
2018-06-15,1113,65.650,65.850,9.869M,65.650,68.850,242.741B,N/A,646.955M,65.000,64.500,57.837M,65.650,66.475,65.700,66.453,2560,66.069,"252,717",67.172,65.554,65.352,74.020,57.050,"32,825",44.346,0.050/0.050,-0.076%,8.135/9.877,3.166%,2.589/2.894,-0.024,HKD 8.070,+0.616,HKD 1.700,HKD 78.851
2018-06-15,0011,198.300,198.600,1.540M,197.900,203.600,378.354B,N/A,304.688M,198.000,192.500,72.417M,198.000,198.700,198.300,197.450,1402,194.348,"217,324",189.096,197.849,180.473,203.600,152.200,"19,830",51.498,0.100/0.100,2.587%,19.252/17.549,12.144%,3.429/3.631,0.213,HKD 10.300,+0.550,HKD 6.700,HKD 79.520
2018-06-15,1299,69.600,70.750,24.994M,70.150,74.256,847.146B,69.600,1.751B,70.400,69.850,236.911M,69.600,71.925,69.700,71.646,5641,69.883,"310,335",67.152,70.057,62.890,74.256,53.500,"13,920",46.344,0.050/0.050,-1.903%,17.389/19.707,4.855%,1.437/1.691,-0.392,USD 0.510,+1.098,USD 0.128,USD 3.478
2018-06-15,0012,44.200,44.550,3.829M,44.050,48.000,193.876B,44.000,169.374M,44.050,44.050,7.741M,44.150,45.831,44.200,45.683,929,45.130,"182,319",45.520,44.235,44.436,49.791,37.491,"44,200",36.494,0.050/0.050,-4.235%,6.389/12.163,2.769%,3.517/3.568,-1.529,HKD 6.918,+0.661,HKD 1.555,HKD 66.600
2018-06-15,1398,6.330,6.400,309.708M,6.380,7.000,553.746B,6.330,1.965B,6.340,6.340,71.777M,6.330,6.559,6.340,6.591,5247,6.707,"374,511",6.829,6.345,6.234,7.640,4.830,"6,330",35.715,0.010/0.010,-2.765%,6.531/6.070,0.631%,4.752/5.039,-4.382,RMB 0.790,+1.369,RMB 0.241,RMB 5.969
2018-06-15,0144,17.220,17.260,8.395M,17.180,18.570,56.309B,N/A,144.340M,17.200,16.950,12.945M,17.220,17.402,17.240,17.490,873,17.122,"165,338",17.734,17.194,20.004,25.240,16.370,"34,440",46.448,0.020/0.020,-0.058%,9.364/10.933,2.416%,12.544/4.065,-0.024,HKD 1.839,+0.777,HKD 2.160,HKD 22.409
2018-06-15,0151,7.620,7.740,20.491M,7.730,8.180,96.233B,N/A,156.435M,7.700,6.900,21.434M,7.610,7.802,7.620,7.551,2008,7.089,"77,906",6.805,7.634,6.141,8.180,4.926,"7,620",56.863,0.010/0.010,-0.781%,25.124/23.175,0.757%,2.563/2.013,-1.032,RMB 0.309,+0.558,RMB 0.199,RMB 1.163
2018-06-15,0016,123.300,124.500,3.605M,123.200,131.800,356.911B,N/A,445.780M,123.500,123.100,45.858M,123.300,126.530,123.400,126.375,886,125.720,"503,138",127.198,123.656,124.319,138.400,109.300,"123,300",38.634,0.100/0.100,-1.987%,8.545/11.709,5.794%,3.406/3.569,-0.343,HKD 14.430,+0.665,HKD 4.100,HKD 172.025
2018-06-15,0175,23.200,23.600,45.723M,23.450,24.600,210.517B,N/A,1.061B,23.450,21.610,47.092M,23.150,23.420,23.200,22.910,3880,22.418,"273,440",23.340,23.205,22.565,29.510,13.990,"23,200",54.636,0.050/0.050,5.888%,15.890/12.440,3.449%,1.250/1.608,1.707,RMB 1.190,+1.753,RMB 0.234,RMB 3.842
2018-06-15,0017,11.700,11.940,15.904M,11.860,12.480,121.122B,N/A,186.703M,11.940,11.640,18.036M,11.700,12.148,11.720,12.067,1186,11.654,"157,422",11.717,11.739,11.097,12.860,9.270,"11,700",47.030,0.020/0.020,-2.985%,14.625/15.705,0.834%,4.017/4.009,-3.579,HKD 0.800,+0.847,HKD 0.460,HKD 18.959
2018-06-15,1928,44.850,45.900,6.572M,45.250,47.600,365.628B,N/A,295.443M,45.900,44.000,72.985M,44.850,45.145,44.900,45.788,1394,44.473,"211,939",43.857,44.955,38.837,47.600,31.810,"17,940",49.776,0.050/0.050,-0.333%,28.774/23.325,4.542%,4.437/4.532,-0.073,USD 0.199,+0.880,USD 0.254,USD 0.562
2018-06-15,1997,60.800,60.800,8.574M,59.450,64.150,180.504B,N/A,517.478M,59.250,57.150,100.153M,60.500,61.055,60.800,60.455,1232,58.055,"420,031",54.862,60.354,N/A,65.150,45.600,"60,800",47.899,0.050/0.050,0.662%,10.723/20.403,4.187%,/3.207,0.158,HKD 5.670,N/A,HKD 0.950,HKD 68.281
2018-06-15,0019,83.250,83.700,3.812M,83.000,83.800,75.132B,N/A,317.509M,83.000,77.650,58.569M,83.100,82.285,83.250,80.823,1461,79.035,"217,323",78.048,83.292,76.380,83.800,70.750,"41,625",64.535,0.050/0.050,3.224%,4.801/--,2.541%,2.523/--,1.269,HKD 17.340,+0.426,HKD 2.100,HKD 168.470
2018-06-15,0001,88.500,88.500,7.525M,88.300,92.000,340.633B,N/A,664.072M,88.350,87.100,136.442M,88.300,89.975,88.500,89.373,1863,89.872,"356,453",93.606,88.249,95.852,106.050,87.100,"44,250",42.471,0.050/0.050,-0.282%,9.725/8.784,3.746%,3.220/3.336,-0.075,HKD 9.100,+0.534,HKD 2.850,HKD 111.481
2018-06-15,2007,16.200,16.560,43.182M,16.140,16.920,350.899B,N/A,703.755M,16.040,14.080,133.948M,16.200,16.188,16.220,15.616,2802,15.210,"251,162",14.698,16.297,12.246,18.013,7.045,"16,200",57.650,0.020/0.020,9.164%,10.752/9.499,2.775%,3.006/3.658,3.302,RMB 1.228,+1.796,RMB 0.400,RMB 4.402
2018-06-15,2018,120.300,122.000,4.383M,119.400,134.600,145.907B,N/A,527.765M,118.300,106.300,47.645M,120.200,123.540,120.300,119.030,2115,121.668,"249,534",133.446,120.412,131.474,183.300,91.950,"60,150",47.959,0.100/0.100,5.066%,22.541/16.538,19.846%,1.746/2.101,0.255,RMB 4.350,+1.496,RMB 1.681,RMB 14.362
2018-06-15,2318,79.250,79.900,35.473M,79.050,80.450,588.731B,N/A,2.814B,79.300,73.923,599.207M,79.200,78.239,79.250,77.264,4310,77.856,"652,896",81.631,79.328,71.374,97.373,47.705,"39,625",57.559,0.050/0.050,4.451%,12.945/12.997,12.186%,2.661/2.313,0.365,RMB 4.990,+1.480,RMB 1.500,RMB 25.894
2018-06-15,2319,27.500,28.250,18.537M,27.900,30.200,109.573B,N/A,512.698M,27.700,26.050,17.687M,27.450,28.740,27.500,27.883,3113,27.405,"164,696",26.271,27.658,21.936,30.200,14.352,"27,500",49.964,0.050/0.050,-1.434%,42.613/27.136,4.294%,0.545/0.852,-0.334,RMB 0.526,+0.797,RMB 0.120,RMB 5.756
2018-06-15,2382,164.000,168.500,5.585M,165.700,174.900,181.773B,N/A,924.784M,165.900,144.488,22.360M,164.000,165.750,164.300,159.334,4300,148.756,"215,066",138.173,165.584,119.407,174.900,63.488,"16,400",60.530,0.100/0.100,3.797%,50.109/34.389,25.225%,0.495/0.763,0.151,RMB 2.668,+1.713,RMB 0.661,RMB 6.826
2018-06-15,2388,39.450,39.750,10.264M,39.800,41.150,420.797B,N/A,405.606M,39.550,38.700,38.054M,39.450,39.820,39.500,39.873,1933,39.463,"209,832",39.493,39.517,38.491,42.150,33.085,"19,725",48.999,0.050/0.050,1.154%,13.424/12.644,1.591%,3.544/3.701,0.725,HKD 2.939,+0.728,HKD 1.398,HKD 22.959
2018-06-15,0023,32.300,32.300,3.207M,32.000,34.800,89.845B,N/A,103.047M,32.000,31.650,52.530M,32.200,32.555,32.300,32.613,590,32.972,"174,656",32.969,32.132,32.989,35.250,30.550,"6,460",40.588,0.050/0.050,0.780%,10.062/16.564,0.884%,3.963/2.864,0.882,HKD 3.210,+0.601,HKD 1.280,HKD 32.357
2018-06-15,2628,21.950,22.150,38.528M,22.250,22.711,165.566B,N/A,846.141M,22.000,20.961,91.993M,21.900,22.254,21.950,21.925,1724,21.675,"490,801",22.580,21.962,23.632,27.711,20.611,"21,950",56.383,0.050/0.050,1.806%,15.832/13.847,1.503%,2.260/2.739,1.202,RMB 1.130,+1.094,RMB 0.400,RMB 11.355
