Date,Symbol,Nominal price,High,Share Tr,Prev Close,1 Month High,MKT Cap,Low,Turnover,Open,1 Month Low,Short Sell,Bid,10-D SMA,Ask,20-D SMA,No of Tr,50-D SMA,Amount/T,100-D SMA,VWAP,250-D SMA,52-W High,52-W Low,Admission Fee,14-D RSI,Spread,10-D R. of Return,P/E Ratio/Est.,Rate of Risk,% Yld/Est.,Risk Return Rate,EPS,Beta,DPS,NBV Per Share
2018-06-06,0101,18.260,18.380,3.312M,18.140,19.200,81.589B,18.140,60.436M,18.300,17.080,8.645M,18.240,18.084,18.260,18.395,833,18.123,"72,552",18.537,18.248,18.404,21.070,16.700,"18,260",47.986,0.020/0.020,1.107%,10.088/17.728,0.800%,4.107/4.107,1.384,HKD 1.810,+0.636,HKD 0.750,HKD 30.274
2018-06-06,1038,59.550,59.600,1.373M,59.200,61.800,156.920B,59.350,81.582M,59.600,58.700,15.813M,59.450,59.415,59.550,60.011,902,60.752,"90,446",62.730,59.419,64.843,71.420,58.700,"29,775",39.278,0.050/0.050,0.506%,14.631/12.752,2.794%,3.997/4.375,0.181,HKD 4.070,+0.359,HKD 2.380,HKD 39.036
2018-06-06,1044,78.000,N/A,3.049M,78.500,78.600,94.691B,77.400,237.987M,79.000,66.577,90.154M,78.000,73.870,78.050,71.757,1394,72.214,"170,722",73.768,78.054,69.764,87.277,50.261,"39,000",70.111,0.050/0.050,10.482%,20.253/18.540,8.434%,3.335/3.402,1.243,RMB 3.149,+0.521,RMB 2.100,RMB 13.356
2018-06-06,1088,21.300,21.650,22.176M,20.950,22.150,71.200B,21.000,474.680M,21.100,18.520,21.986M,21.300,20.344,21.350,20.517,3067,19.978,"154,770",21.252,21.405,19.753,25.750,15.798,"10,650",54.816,0.050/0.050,7.794%,7.248/7.689,1.824%,5.300/4.984,4.273,RMB 2.403,+1.243,RMB 0.910,RMB 15.362
2018-06-06,1093,25.650,26.550,28.188M,26.000,26.600,162.318B,25.550,735.415M,26.000,20.700,88.731M,25.600,24.715,25.650,23.473,2850,21.877,"258,040",19.809,26.090,15.824,26.600,10.790,"51,300",71.010,0.050/0.050,10.799%,56.398/45.804,3.850%,0.585/0.706,2.805,HKD 0.455,+0.897,HKD 0.150,HKD 2.454
2018-06-06,1109,31.150,31.850,8.233M,31.600,32.100,219.018B,31.100,258.008M,31.850,27.700,50.030M,31.150,29.370,31.200,29.573,1223,29.198,"210,964",28.988,31.338,25.573,34.450,21.050,"62,300",64.376,0.050/0.050,7.414%,9.383/8.990,3.066%,3.104/3.868,2.418,HKD 3.320,+1.226,HKD 0.967,HKD 20.645
2018-06-06,1113,67.250,67.700,4.021M,66.950,68.850,247.548B,66.950,270.962M,67.700,64.220,46.505M,67.200,66.270,67.250,66.588,1398,65.900,"193,821",67.493,67.387,65.142,74.020,57.050,"33,625",54.774,0.050/0.050,0.298%,8.333/10.117,3.309%,2.528/2.825,0.090,HKD 8.070,+0.616,HKD 1.700,HKD 78.851
2018-06-06,0011,197.700,199.000,1.333M,196.700,202.900,376.059B,196.700,264.157M,197.900,192.500,31.063M,197.600,195.490,197.700,196.830,2502,192.006,"105,578",188.132,198.167,179.261,202.900,152.200,"19,770",53.411,0.100/0.100,0.457%,19.194/17.496,12.314%,3.440/3.642,0.037,HKD 10.300,+0.545,HKD 6.700,HKD 79.520
2018-06-06,1299,73.100,73.500,18.190M,72.050,74.256,870.091B,72.000,1.327B,72.200,66.306,370.506M,73.000,71.295,73.100,71.326,5886,69.050,"225,406",66.750,72.952,62.402,74.256,53.500,"14,620",55.303,0.050/0.050,3.909%,18.266/20.701,4.779%,1.368/1.610,0.818,USD 0.510,+1.089,USD 0.128,USD 3.478
2018-06-06,0012,46.550,47.000,4.674M,46.950,48.000,206.639B,46.450,217.608M,46.950,43.336,45.587M,46.500,45.998,46.550,45.488,1206,45.194,"180,438",45.613,46.557,44.293,49.791,37.491,"46,550",64.847,0.050/0.050,2.987%,6.729/12.810,2.841%,3.339/3.388,1.051,HKD 6.918,+0.670,HKD 1.555,HKD 66.600
