Date,Symbol,Nominal price,Open,High,Low,Mkt cap,P/E ratio,Div yield,Prev close,52-wk high,52-wk low
2018-06-08,0101,17.98,18.02,18.22,17.94,80.87B,9.96,4.17%,18.08,21.80,17.08
2018-06-08,1038,59.40,60.00,60.20,59.40,157.45B,14.59,4.01%,59.75,73.80,58.70
2018-06-08,1044,76.75,76.80,78.05,76.10,92.58B,20.13,3.31%,78.30,88.70,52.80
2018-06-08,1088,20.85,21.45,21.50,20.80,-,7.19,5.43%,21.70,25.75,16.38
2018-06-08,1093,24.40,24.30,25.20,24.20,152.33B,48.83,0.61%,24.90,26.75,10.94
2018-06-08,1109,31.10,31.70,32.05,30.85,215.55B,9.37,3.11%,31.45,34.45,21.05
2018-06-08,1113,66.30,66.50,67.20,66.00,245.14B,8.21,2.56%,67.25,75.30,58.75
2018-06-08,0011,200.20,203.00,203.60,199.30,382.75B,19.44,3.40%,201.60,204.20,159.00
2018-06-08,1299,71.95,73.90,73.90,71.50,868.88B,18.04,1.39%,73.75,75.00,54.50
2018-06-08,0012,45.95,46.00,46.50,45.65,183.85B,6.65,3.38%,46.10,50.91,39.05
2018-06-08,1398,6.59,6.67,6.70,6.55,-,6.72,4.57%,6.71,7.64,4.83
2018-06-08,0144,17.22,17.58,17.58,17.20,56.44B,9.32,4.70%,17.56,27.40,16.96
2018-06-08,0151,7.79,8.00,8.05,7.73,96.98B,-,1.56%,8.11,8.14,5.00
2018-06-08,0016,126.90,127.90,128.20,126.30,367.63B,6.79,3.31%,128.20,139.60,113.50
2018-06-08,0175,23.60,24.00,24.05,23.50,211.84B,16.60,1.23%,23.76,29.80,13.18
2018-06-08,0017,12.10,12.18,12.48,12.06,123.57B,8.14,3.88%,12.42,13.00,9.74
2018-06-08,1928,44.75,45.15,45.15,44.20,361.52B,28.72,4.45%,44.95,49.35,33.80
2018-06-08,1997,60.40,61.10,61.90,60.10,183.39B,10.65,1.57%,62.15,65.15,46.55
2018-06-08,0019,83.25,83.20,83.50,82.60,117.21B,4.86,2.52%,83.20,83.50,71.85
2018-06-08,0001,90.05,90.60,90.95,89.60,347.38B,9.90,3.16%,91.05,108.90,87.10
2018-06-08,2007,17.24,17.28,17.30,16.94,374.81B,11.44,2.81%,17.28,19.16,8.37
2018-06-08,2018,127.10,132.80,132.80,127.10,155.32B,23.54,1.65%,131.30,185.00,87.85
2018-06-08,2318,78.50,79.85,79.85,78.00,-,12.47,2.31%,79.55,98.85,49.90
2018-06-08,2319,28.70,29.15,29.45,28.40,112.72B,44.55,0.52%,29.40,29.45,14.50
2018-06-08,2382,168.30,169.50,170.80,166.10,184.63B,51.77,0.48%,168.30,171.60,58.40
2018-06-08,2388,39.95,39.85,40.20,39.85,422.38B,14.83,3.26%,40.35,42.15,34.30
2018-06-08,0023,32.65,32.75,33.35,32.55,91.67B,19.39,3.92%,33.30,36.00,30.55
2018-06-08,2628,22.80,23.00,23.05,22.70,-,16.31,2.17%,23.05,28.20,21.10
2018-06-08,0267,11.84,12.00,12.06,11.76,344.43B,7.85,3.04%,12.04,12.80,10.70
2018-06-08,0027,64.40,65.00,65.00,63.70,278.08B,26.42,-,64.95,73.85,43.90
2018-06-08,0288,7.88,8.04,8.07,7.86,115.64B,13.16,3.43%,8.06,9.90,7.16
2018-06-08,0002,81.95,82.50,82.70,81.90,207.04B,14.53,3.58%,83.15,85.00,75.05
2018-06-08,3328,6.32,6.38,6.43,6.31,-,5.67,5.64%,6.44,7.13,5.47
2018-06-08,0386,7.47,7.62,7.70,7.43,-,-,4.00%,7.62,8.35,5.40
2018-06-08,0388,260.00,261.40,262.80,259.20,322.35B,38.90,2.08%,263.40,306.00,197.60
2018-06-08,3988,4.18,4.25,4.25,4.18,-,7.41,4.21%,4.25,4.96,3.57
2018-06-08,0003,15.48,15.40,15.50,15.26,238.18B,28.96,2.26%,15.50,17.38,14.40
2018-06-08,0005,76.55,77.20,77.20,76.45,-,18.16,5.19%,77.25,86.00,67.55
2018-06-08,0066,44.50,44.65,44.65,44.35,267.40B,15.78,2.52%,44.85,46.80,40.55
2018-06-08,0688,28.80,29.20,29.20,28.50,315.54B,7.74,2.78%,29.00,32.20,22.50
2018-06-08,0006,55.45,56.00,56.15,55.45,118.34B,14.23,5.05%,55.95,78.80,54.00
2018-06-08,0700,415.00,426.60,426.60,412.60,3.94T,40.26,0.21%,429.20,476.60,260.40
2018-06-08,0762,10.32,10.66,10.80,10.24,315.77B,49.15,0.62%,10.86,13.24,9.20
2018-06-08,0823,73.30,73.50,74.20,73.00,157.60B,3.37,3.41%,73.65,75.00,58.00
2018-06-08,0836,15.72,15.86,15.90,15.70,75.62B,16.24,5.57%,15.84,16.34,12.82
2018-06-08,0083,14.14,14.00,14.36,13.94,93.37B,6.23,3.75%,14.14,15.06,12.44
2018-06-08,0857,6.55,6.65,6.74,6.53,-,42.03,1.98%,6.59,6.74,4.72
2018-06-08,0883,13.20,13.54,13.56,13.12,589.35B,19.49,3.79%,13.46,14.64,8.45
2018-06-08,0939,8.08,8.25,8.25,8.05,-,6.71,4.50%,8.25,9.39,5.91
2018-06-08,0941,71.50,73.15,73.20,71.15,1.46T,10.46,4.48%,73.20,89.60,69.60
