Date,Symbol,Nominal price,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,Market Cap,Beta,PE Ratio (TTM),EPS (TTM),Earnings Date,Forward Dividend & Yield,Ex-Dividend Date,1y Target Est
2018-06-08,0101,17.980,18.080,18.020,17.960 x 0,17.980 x 0,17.940 - 18.220,17.080 - 21.800,"4,274,815","3,567,488",80.869B,1.28,9.93,1.810,N/A,0.75 (4.15%),2018-04-30,21.70
2018-06-08,1038,59.400,59.750,60.000,59.400 x 0,59.450 x 0,59.400 - 60.200,58.700 - 73.800,"1,818,692","2,564,012",157.45B,0.12,14.59,4.070,"Jul 18, 2018",2.38 (3.75%),2018-05-14,76.68
2018-06-08,1044,76.750,78.300,76.800,76.750 x 0,76.800 x 0,76.100 - 78.050,52.800 - 88.700,"2,341,657","3,149,058",92.58B,0.59,20.33,3.775,"Mar 20, 2017",2.35 (3.27%),2018-05-21,82.94
2018-06-08,1088,20.850,21.700,21.450,20.850 x 0,20.900 x 0,20.800 - 21.500,16.380 - 25.750,"24,821,914","22,944,447",408.201B,1.32,7.24,2.881,N/A,1.13 (5.12%),2018-06-28,20.54
2018-06-08,1093,24.400,24.900,24.300,24.400 x 0,24.450 x 0,24.200 - 25.200,10.940 - 26.750,"40,349,572","35,935,801",152.33B,0.94,53.65,0.455,"May 23, 2018",0.15 (0.72%),2018-05-30,25.58
2018-06-08,1109,31.100,31.450,31.700,31.000 x 0,31.100 x 0,30.850 - 32.050,21.050 - 34.450,"11,782,939","10,894,214",215.487B,1.54,9.37,3.320,"Mar 20, 2018",0.97 (3.22%),2018-06-13,35.12
2018-06-08,1113,66.300,67.250,66.500,66.250 x 0,66.300 x 0,66.000 - 67.200,58.750 - 75.300,"7,151,514","4,689,290",245.144B,1.48,8.22,8.070,"Aug 1, 2018",1.70 (2.53%),2018-05-15,82.13
2018-06-08,0011,200.200,201.600,203.000,200.000 x 0,200.200 x 0,199.300 - 203.600,159.000 - 204.200,"1,999,560","1,309,373",382.75B,0.54,19.44,10.300,"Jul 30, 2018",6.80 (3.35%),2018-05-17,189.16
2018-06-08,1299,71.950,73.750,73.900,71.900 x 0,71.950 x 0,71.500 - 73.900,54.500 - 75.000,"16,054,164","22,457,395",864.213B,0.97,18.07,3.983,"Jul 26, 2018",1.00 (1.35%),2018-05-23,78.77
2018-06-08,0012,45.950,46.100,46.000,45.800 x 0,45.950 x 0,45.650 - 46.500,39.045 - 50.909,"4,467,895","3,333,583",202.238B,0.80,6.64,6.918,"Aug 20, 2018",3.83 (7.38%),2018-06-05,51.06
2018-06-08,1398,6.590,6.710,6.670,6.580 x 0,6.590 x 0,6.550 - 6.700,4.830 - 7.640,"251,873,968","230,767,941",2.079T,1.30,6.96,0.947,N/A,0.30 (4.47%),2018-07-05,8.64
2018-06-08,0144,17.220,17.560,17.580,17.220 x 0,17.240 x 0,17.200 - 17.580,16.960 - 27.400,"4,379,834","4,932,639",56.441B,1.02,9.36,1.839,N/A,0.81 (4.43%),2018-06-07,24.28
2018-06-08,0151,7.790,8.110,8.000,7.780 x 0,7.790 x 0,7.730 - 8.050,5.000 - 8.180,"12,333,803","16,863,121",96.98B,0.76,20.17,0.386,N/A,0.07 (1.15%),2017-12-04,7.15
2018-06-08,0016,126.900,128.200,127.900,126.800 x 0,126.900 x 0,126.300 - 128.200,113.500 - 139.600,"3,122,090","3,169,149",367.629B,0.93,11.22,11.310,N/A,2.40 (1.95%),2018-03-12,152.71
2018-06-08,0175,23.600,23.760,24.000,23.550 x 0,23.600 x 0,23.500 - 24.050,13.940 - 29.800,"44,423,076","47,962,676",211.844B,N/A,16.54,N/A,"Aug 14, 2018",N/A (N/A),N/A,30.83
2018-06-08,0017,12.100,12.420,12.180,12.100 x 0,12.120 x 0,12.060 - 12.480,9.740 - 13.000,"13,404,334","12,441,799",123.572B,1.26,12.74,0.950,N/A,0.28 (2.48%),2018-03-16,13.70
