Date,Symbol,Nominal price,Open,High,Low,Mkt cap,P/E ratio,Div yield,Prev close,52-wk high,52-wk low
2018-06-06,0101,18.22,18.30,18.38,18.18,81.95B,10.09,4.12%,18.14,21.80,17.08
2018-06-06,0288,8.19,8.18,8.29,8.18,120.19B,13.69,3.30%,8.18,9.90,7.16
2018-06-06,0002,82.40,82.25,82.65,82.05,208.18B,14.61,3.56%,82.05,85.00,75.05
2018-06-06,3328,6.31,6.26,6.33,6.26,-,5.67,5.65%,6.28,7.13,5.47
2018-06-06,0386,7.60,7.50,7.67,7.50,-,-,3.93%,7.59,8.35,5.40
2018-06-06,0388,259.00,258.00,260.40,257.40,321.11B,38.75,2.08%,258.00,306.00,197.60
2018-06-06,3988,4.20,4.22,4.22,4.20,-,7.44,4.19%,4.20,4.96,3.57
2018-06-06,0003,17.34,17.30,17.38,17.28,242.55B,29.49,2.02%,17.28,17.38,14.40
2018-06-06,0005,76.40,76.20,76.50,76.20,-,18.13,5.20%,76.50,86.00,67.55
2018-06-06,0066,44.55,44.35,44.60,44.35,267.70B,15.79,2.51%,44.35,46.80,40.55
2018-06-06,0688,28.35,28.25,28.80,28.25,310.61B,7.62,2.82%,28.20,32.20,22.50
2018-06-06,0006,54.90,54.95,55.10,54.70,117.17B,14.08,5.10%,54.70,78.80,54.00
2018-06-06,0700,423.40,421.20,424.60,420.80,4.02T,41.18,0.21%,420.00,476.60,260.40
2018-06-06,0762,10.78,10.90,10.90,10.74,329.85B,51.46,0.59%,10.86,13.24,9.20
2018-06-06,0823,72.30,73.20,73.30,72.15,155.45B,6.71,3.29%,72.90,75.00,58.00
2018-06-06,0836,15.92,15.62,15.94,15.62,76.39B,16.45,5.50%,15.62,16.34,12.82
2018-06-06,0083,14.00,14.26,14.28,13.98,92.44B,6.17,3.79%,14.14,15.06,12.44
2018-06-06,0857,6.43,6.40,6.48,6.34,-,41.26,2.02%,6.37,6.66,4.72
2018-06-06,0883,13.70,13.54,13.74,13.46,611.67B,20.28,3.65%,13.60,14.64,8.45
2018-06-06,0939,8.13,8.18,8.19,8.12,-,6.77,4.47%,8.15,9.39,5.91
2018-06-06,0941,72.70,72.70,72.95,72.50,1.49T,10.66,4.41%,72.30,89.60,69.60
