Symbol,High,Open,Amount,Low,Close,Volume,Beta,PE,EPS,Divident,Institute1,Last Advice1,Current Advice1,Last Price1,Current Price1,Institute2,Last Advice2,Current Advice2,Last Price2,Current Price2,Institute3,Last Advice3,Current Advice3,Last Price3,Current Price3,Institute4,Last Advice4,Current Advice4,Last Price4,Current Price4,Institute5,Last Advice5,Current Advice5,Last Price5,Current Price5
00001,90.950,90.600,3.71億,89.600,91.050,4.11百萬,0.523,9.897,9.099,3.16,美林,買入,買入,119.000,116.000,大摩,買入,買入,109.000,109.000,富瑞,買入,買入,123.000,123.000,德銀,持有,持有,115.000,108.000,瑞信,買入,買入,131.000,131.000
00002,82.700,82.500,1.31億,81.900,83.150,1.60百萬,0.232,14.530,5.640,3.55,瑞銀,持有,買入,78.000,88.000,花旗,持有,持有,64.000,64.000,花旗,持有,持有,80.000,82.000,野村,持有,持有,91.300,86.600,花旗,持有,持有,80.000,80.000
00003,15.500,15.400,4.14億,15.260,15.500,2.69千萬,0.247,28.935,0.535,2.05,德銀,賣出,賣出,12.000,12.000,野村,賣出,賣出,13.840,13.840,摩通,賣出,賣出,11.800,11.800,滙證,賣出,賣出,13.000,13.000,大和,買入,買入,15.900,16.300
00005,77.200,77.200,8.81億,76.450,77.250,1.15千萬,0.691,20.203,3.789,5.21,大摩,買入,買入,88.000,95.000,德銀,持有,持有,75.000,77.000,瑞信,賣出,持有,65.800,77.000,高盛,買入,買入,84.000,85.000,德銀,持有,持有,78.000,76.000
00006,56.150,56.000,1.83億,55.450,55.950,3.29百萬,0.214,14.225,3.898,29.40,摩通,持有,買入,69.000,62.600,滙證,持有,買入,70.000,62.000,摩通,買入,買入,69.000,69.000,花旗,持有,持有,74.100,72.000,摩通,持有,持有,69.000,69.000
00011,203.600,203.000,4.02億,199.300,201.600,2.00百萬,0.560,19.435,10.301,3.35,大摩,買入,買入,240.000,240.000,美林,買入,買入,187.700,208.400,野村,賣出,賣出,151.760,166.460,瑞銀,賣出,賣出,156.500,156.500,大摩,買入,買入,220.000,220.000
00012,46.500,46.000,2.06億,45.650,46.100,4.47百萬,0.639,6.645,6.915,3.38,高盛,持有,賣出,54.000,46.000,摩通,買入,買入,60.500,61.800,瑞信,持有,持有,54.300,55.200,德銀,持有,持有,49.700,51.400,大摩,賣出,賣出,49.000,51.000
00016,128.200,127.900,3.97億,126.300,128.200,3.12百萬,0.649,8.794,14.430,3.23,高盛,買入,買入,167.000,166.000,花旗,持有,持有,139.200,138.300,高盛,買入,買入,167.000,167.000,滙證,買入,買入,161.200,161.200,大和,買入,買入,157.100,157.100
00017,12.480,12.180,1.63億,12.060,12.420,1.34千萬,0.846,15.050,0.804,3.80,滙證,買入,買入,14.600,14.800,花旗,買入,買入,15.480,15.480,里昂,買入,買入,15.000,15.000,瑞信,買入,買入,14.700,14.700,滙證,買入,買入,14.400,14.600
00019,83.500,83.200,1.09億,82.600,83.200,1.31百萬,0.438,4.801,17.341,2.52,花旗,買入,買入,90.000,90.000,里昂,買入,買入,85.000,97.000,花旗,買入,買入,90.000,90.000,美林,賣出,賣出,80.000,80.000,中銀,持有,買入,81.200,95.420
00023,33.350,32.750,2.44千萬,32.550,33.300,74.41萬,0.566,10.190,3.204,3.92,大摩,賣出,賣出,30.000,30.000,花旗,賣出,賣出,26.800,26.800,美林,賣出,賣出,22.750,23.800,摩通,賣出,賣出,26.500,27.000,瑞銀,持有,持有,32.500,32.500
00027,65.000,65.000,9.56億,63.700,64.950,1.49千萬,1.027,26.275,2.451,1.15,花旗,買入,買入,84.000,86.000,摩通,買入,買入,77.000,79.000,瑞信,買入,買入,80.000,88.000,滙證,買入,買入,83.800,80.800,德銀,買入,買入,73.000,82.000
00066,44.650,44.650,8.56千萬,44.350,44.850,1.92百萬,0.364,15.730,2.829,2.52,里昂,買入,買入,44.000,50.000,大摩,賣出,賣出,38.000,40.000,美林,賣出,賣出,41.000,42.500,瑞銀,賣出,賣出,39.300,39.300,德銀,持有,持有,42.600,41.000
00083,14.360,14.000,1.13億,13.940,14.140,8.00百萬,0.801,11.882,1.190,3.75,麥格理,持有,買入,12.620,15.230,里昂,買入,買入,15.000,15.900,大和,持有,持有,13.500,14.500,美林,持有,持有,15.500,15.500,大摩,持有,持有,15.500,15.500
