Date,Open,High,Low,Close,Adj Close,Volume
2018-05-08,45.700001,46.549999,45.599998,46.299999,45.311737,9522223
2018-05-09,45.849998,46.099998,45.349998,45.900002,44.920280,6818551
2018-05-10,45.950001,46.650002,45.849998,46.349998,45.360672,7254483
2018-05-11,46.950001,47.799999,46.549999,47.349998,46.339325,10814240
2018-05-14,47.900002,47.900002,46.799999,47.349998,46.339325,11956564
2018-05-15,47.000000,47.200001,46.500000,47.000000,45.996799,5923624
2018-05-16,47.049999,47.099998,45.900002,46.150002,45.164944,10120113
2018-05-17,46.700001,46.900002,46.099998,46.849998,45.849998,9947914
2018-05-18,47.099998,47.500000,46.849998,47.099998,46.094662,8784331
2018-05-21,47.099998,48.099998,47.000000,47.950001,46.926521,7052762
2018-05-23,47.200001,47.700001,46.900002,47.049999,46.045731,14846303
2018-05-24,47.000000,47.349998,46.349998,47.299999,46.290394,6724220
2018-05-25,47.400002,47.450001,46.650002,47.000000,45.996799,6464936
2018-05-28,47.400002,48.599998,47.000000,48.299999,47.269051,12075188
2018-05-29,48.000000,48.500000,47.750000,47.950001,46.926521,8406193
2018-05-30,47.500000,47.700001,46.549999,46.849998,45.849998,18163364
2018-05-31,46.500000,47.250000,45.849998,46.950001,46.950001,21531145
2018-06-01,47.250000,47.299999,44.599998,45.000000,45.000000,27901559
2018-06-04,45.349998,45.549999,45.000000,45.250000,45.250000,9963991
2018-06-05,46.000000,46.000000,45.000000,45.250000,45.250000,17682553
2018-06-06,45.150002,45.150002,44.000000,44.950001,44.950001,19674983
2018-06-07,45.200001,45.349998,44.599998,44.950001,44.950001,18118384
2018-06-08,45.150002,45.150002,44.200001,44.750000,44.750000,10464992
